Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
01e1f394-7219-4189-bceb-3cbd90cff90b,1967-07-14,,999-21-9208,S99958394,X3420210X,Mrs.,Ardis509,Littel644,,Baumbach677,M,white,nonhispanic,F,Groton  Massachusetts  US,591 Grant Trace,Lynn,Massachusetts,Essex County,,42.508730700098056,-70.91940684326552,1050516.28,17017.449999999997
0325261f-61eb-46f8-acc6-89d15053fecd,1922-02-14,2007-09-03,999-57-7228,S99950625,X38142002X,Ms.,Guillermina633,Menéndez746,,,S,asian,hispanic,F,Lima  Lima Province  PE,570 Nikolaus Wynd,Cambridge,Massachusetts,Middlesex County,02139,42.37861823772232,-71.13887131827138,1426338.69,55551.73999999999
0447625b-b860-483c-9f30-17ed375b1493,1961-03-14,,999-63-3313,S99912129,X84209676X,Mrs.,Marcelle381,Crooks415,,Fahey393,M,white,nonhispanic,F,Spencer  Massachusetts  US,846 White View,Gardner,Massachusetts,Worcester County,,42.58501974537671,-71.9736070544949,704391.1,6057.679999999999
04630e85-e9f5-4a9b-be75-97f2c3346037,1953-03-07,,999-11-6672,S99913597,X72137272X,Mrs.,Lynette631,Walter473,,Waelchi213,M,white,nonhispanic,F,Medford  Massachusetts  US,730 Bogan Row,Danvers,Massachusetts,Essex County,,42.60440173960424,-70.93066659920434,1376389.7,15031.769999999999
04db6603-0017-4cc6-a46d-6df577b0a10d,1972-09-04,,999-42-7567,S99958032,X10230418X,Mrs.,Angella518,Reynolds644,,Schuster709,M,black,nonhispanic,F,Lynn  Massachusetts  US,328 Hyatt Ferry Suite 38,Leverett,Massachusetts,Franklin County,,42.425905031290434,-72.52612009723094,891540.8,18101.839999999997
076688b0-f0d5-4c45-8bc6-b206684fa9ac,1959-04-24,,999-81-5413,S99922421,X12417642X,Ms.,Manie910,Torp761,,,S,white,nonhispanic,F,Methuen  Massachusetts  US,359 Powlowski Parade,South Hadley,Massachusetts,Hampshire County,,42.222849492012,-72.61427821158982,1289022.37,15285.649999999998
07b30273-070e-47c7-9617-d12785a4c9d5,1973-08-19,,999-22-9908,S99970583,X87463912X,Mrs.,Conchita9,Rolón954,,Villalpando154,M,white,hispanic,F,Juarez  Chihuahua  MX,286 Mraz Esplanade,Holyoke,Massachusetts,Hampden County,01040,42.208555792936345,-72.68149607049135,1051320.51,9097.819999999998
09616ead-22c8-4210-8cb9-2fdc28e043ca,1953-08-03,,999-68-5321,S99927707,X54034630X,Mrs.,Christena299,Lang846,,Reynolds644,M,white,nonhispanic,F,Boston  Massachusetts  US,124 Fadel Dam Apt 81,Attleboro,Massachusetts,Bristol County,02703,41.97618865916085,-71.3242228778937,1454549.42,19494.639999999996
0ace3e15-8aa4-41c5-8b90-2408285ebcfe,1986-04-02,,999-74-5440,S99952014,X44056564X,Mr.,Galen747,Keeling57,,,M,white,nonhispanic,M,Boston  Massachusetts  US,737 Wyman Approach Suite 78,Waltham,Massachusetts,Middlesex County,02472,42.38248027171596,-71.22529112877596,702834.4,3676.3199999999997
0b48619e-1602-488c-a23b-3d4937153dff,1986-06-02,,999-47-8450,S99938492,X81747344X,Mrs.,Mario764,Kautzer186,,Casper496,M,white,nonhispanic,F,Agawam  Massachusetts  US,381 Wolff Parade Apt 91,Brockton,Massachusetts,Plymouth County,02351,42.06413159837326,-71.0694338991359,248921.48,4745.359999999999
0d270daf-d227-4461-a6bd-256676bdf824,1961-12-13,,999-54-8893,S99967470,X40311840X,Mr.,Emilio417,Amador986,,,M,white,hispanic,M,Mexico City  Mexico City  MX,566 Schroeder Divide Unit 67,Boston,Massachusetts,Suffolk County,02118,42.37402784164887,-71.03964430153226,1209835.94,5790.2
0f5646bc-a156-4ec0-9252-5b592e3d3184,1997-12-14,,999-45-8311,S99971449,X22361696X,Mr.,Mickey576,Crist667,,,,white,nonhispanic,M,Leominster  Massachusetts  US,777 McDermott Path Suite 0,Lynn,Massachusetts,Essex County,,42.4676385782019,-70.92435306412334,482002.73,3627.16
10339b10-3cd1-4ac3-ac13-ec26728cb592,1992-06-02,,999-27-3385,S99972682,X73754411X,Mr.,Jayson808,Fadel536,,,M,white,nonhispanic,M,Springfield  Massachusetts  US,1056 Harris Lane Suite 70,Chicopee,Massachusetts,Hampden County,01020,42.181642300277424,-72.60884222581657,574111.9,2606.3999999999996
11e1992a-28b9-4ee8-bb7f-1c3a7041b57d,1948-07-04,,999-41-1321,S99941808,X36371954X,Ms.,Alease857,Strosin214,,,S,asian,nonhispanic,F,Pepperell  Massachusetts  US,1057 Sawayn Track Suite 67,Pittsfield,Massachusetts,Berkshire County,01201,42.42310865895577,-73.24005626639033,1464950.6,16987.589999999997
12540ff0-7817-40f4-8b55-a19926736785,1999-09-02,,999-85-6147,S99994896,X19855804X,Mr.,Jc393,Waters156,,,,white,nonhispanic,M,Holyoke  Massachusetts  US,986 Price Road,Yarmouth,Massachusetts,Barnstable County,,41.70568522526946,-70.26260337050945,423650.68,2711.44
13b9a676-7cfd-4b7c-bdb6-43ec52b7c919,1914-09-05,1977-03-30,999-80-8862,S99994941,X29811447X,Mrs.,Karma832,Wolff180,,Yost751,M,white,nonhispanic,F,Boston  Massachusetts  US,803 Stracke Gateway Unit 64,Norwood,Massachusetts,Norfolk County,,42.226046440534226,-71.15196205043503,1253149.75,11117.119999999999
14289f20-085c-4fc8-bdd8-e2074166d91f,1968-03-29,,999-64-4625,S99914164,X56336942X,Mrs.,Caterina17,Schulist381,,Mann644,M,white,hispanic,F,Boston  Massachusetts  US,260 Kutch Walk,Fitchburg,Massachusetts,Worcester County,,42.63151510406731,-71.8392184983341,983073.4700000001,11767.039999999999
144edc8e-936e-42d7-8e7d-f3578cf80cc2,1942-07-27,,999-69-6662,S99985073,X16624701X,Mrs.,Andre610,Murray856,,West559,M,white,nonhispanic,F,Greenfield  Massachusetts  US,788 Connelly Highlands,Worcester,Massachusetts,Worcester County,01583,42.33041254164881,-71.74265502080297,1384121.18,14343.319999999998
15545751-f1be-43db-9f35-b3aaa0a959e2,1949-09-04,2002-08-26,999-19-7899,S99998900,X22725008X,Ms.,Brittni468,Grimes165,,,S,white,nonhispanic,F,Charlton  Massachusetts  US,427 Williamson Boulevard,Northbridge,Massachusetts,Worcester County,,42.14648647249423,-71.64760685049937,1088590.86,3637.8399999999997
1821a44e-ba5e-4250-aae9-23ec9c0c26f1,1964-04-18,,999-30-5364,S99934745,X17362023X,Mrs.,Jacquelyn628,Senger904,,Miller503,M,white,nonhispanic,F,Marshfield  Massachusetts  US,983 Rolfson Key,Boston,Massachusetts,Suffolk County,02110,42.33175390763475,-71.12036361150344,1236599.4100000001,18075.819999999996
1968aa31-5fce-461a-9486-6e385a7b75e7,1986-04-11,,999-62-1418,S99944435,X83882355X,Mrs.,Daniela614,Hernádez343,,Pineda243,M,black,hispanic,F,Portsmouth  Saint John Parish  DM,953 Zulauf Flat Apt 96,Athol,Massachusetts,Worcester County,,42.52049474280827,-72.1985028735383,711906.83,7145.929999999999
1a100862-757a-4450-94a6-9731a522f707,1948-03-23,2014-10-08,999-86-2275,S99975609,X45951887X,Mrs.,Lorinda137,Rogahn59,,Gulgowski816,M,white,nonhispanic,F,Westfield  Massachusetts  US,862 Pollich Mews,Belchertown,Massachusetts,Hampshire County,,42.259268605440816,-72.3507485677313,1453963.77,8614.439999999999
