Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
002e03de-a565-3a59-a0b8-137bebc447ab,740b5dfb-075d-3b29-8052-55d810031939,Laurence43 Witting912,M,GENERAL PRACTICE,87 METACOMET ST,BELCHERTOWN,MA,01007-9795,42.27901,-72.400468,80
006bcb89-50e6-382f-8784-3cdf167ccbde,f99c74cc-7d1a-3f95-9a33-4a9357bf2f2a,Darlena95 Pfannerstill264,F,GENERAL PRACTICE,55 LAKE AVENUE NORTH,WORCESTER,MA,01655,42.269478,-71.807783,590
00c9ef7a-2992-310a-a2bd-c7ca035e4ecf,8b58cdd1-3d79-3126-8fe0-da2c54d6805c,Terry864 Wiegand701,M,GENERAL PRACTICE,2100 DORCHESTER AVENUE,BOSTON,MA,02124,42.33196,-71.020173,369
0138a9a6-49f9-3d54-9399-31a85414188d,0f7f97f6-693c-3de9-8190-85feaf4632e2,Jamie386 Eichmann909,M,GENERAL PRACTICE,1 HARBORSIDE DRIVE,EAST BOSTON,MA,2128,42.3634497,-71.0256963,19
01e58660-93f3-3c72-92fc-fe0d098c9e36,cbbee84d-7644-3b24-9f41-e3747f5050df,Houston994 Osinski784,M,GENERAL PRACTICE,26 QUEEN STREET,WORCESTER,MA,1610,42.2590345,-71.8139319,80
0319c0e9-aa9f-395b-b9a7-3afd9697d101,9643bcaf-1f4d-3b2f-b0ff-b5d0cc319a47,Von197 Murazik203,M,GENERAL PRACTICE,1 CHARLES ST,DORCHESTER,MA,02122-1403,42.33196,-71.020173,37
0359f968-d1a6-30eb-b1cc-e6cc0b4d3513,5e765f2b-e908-3888-9fc7-df2cb87beb58,Gaynell126 Streich926,F,GENERAL PRACTICE,211 PARK STREET,ATTLEBORO,MA,02703,41.931653,-71.294503,2287
039d233c-5fa1-3cfd-a401-80aa000aa192,7fee7d3e-4b7d-3238-86f1-96700562897c,Sacha430 Wilkinson796,F,GENERAL PRACTICE,200 PROVIDENCE HWY,DEDHAM,MA,02026-1881,42.246871999999996,-71.179462,72
03abb4a4-0f99-34a2-baf7-dc8aab89b2c7,9873b0a6-2104-34f2-a2ec-924223ef0ae5,Rosana394 Larkin917,F,GENERAL PRACTICE,736 CAMBRIDGE ST,BRIGHTON,MA,02135-2907,42.33196,-71.020173,62
03cb5f51-e1e7-33f0-bd1a-5456b935d0d2,9d4bbb88-396c-33ad-ab6a-d2592eac9c74,Kami26 Quitzon246,F,GENERAL PRACTICE,20 HOPE AVE,WALTHAM,MA,02453-2717,42.388921,-71.24226800000001,42
03cdda04-bde2-369e-8eec-bfe56caa2f24,ea5419a8-3670-39a7-a49b-0df776df60b2,Palma671 Yost751,F,GENERAL PRACTICE,103 GARLAND ST,EVERETT,MA,02149-5095,42.405938,-71.054649,50
05a143d2-3a7d-3764-b23b-c760b0d7af13,1eaf97fa-9de6-38de-a9c4-6efe5dc574be,Ashlea10 Funk324,F,GENERAL PRACTICE,123 SUMMER STREET,WORCESTER,MA,01608,42.269478,-71.807783,409
066c4d42-0935-3533-b6c5-ba203465af11,8e65bfae-f627-32e8-bce0-b44f7130befe,Derek111 Streich926,M,GENERAL PRACTICE,10 LONGWOOD DR,WESTWOOD,MA,02090-1123,42.219645,-71.216768,92
08041271-e7c2-3b83-ab20-5c99b22d4cd6,616aa60c-0364-3315-ae16-7133ae5181bd,Deloris888 Kirlin939,F,GENERAL PRACTICE,336 MAIN ST,WAKEFIELD,MA,01880-5013,42.50436,-71.064061,88
08539150-3673-333b-b5d5-e6f3adde8870,eeca3319-9cbf-382e-a7ee-43986c981135,Hassan290 Rath779,M,GENERAL PRACTICE,58 TREMONT STREET,TAUNTON,MA,2780,41.9048719,-71.106073,13
085f7e80-a42a-3d1e-ad66-35c17e3f8221,c2128582-91b3-31c0-8ddd-988d43cbc166,Antone63 Dare640,M,GENERAL PRACTICE,5 SACRAMENTO ST,CAMBRIDGE,MA,02138-1812,42.376043,-71.11868,63
08703819-4d5c-3998-9de3-6ef611285bbc,a9afd4c9-8443-3b5a-a486-07c3bb109b3f,Judith460 Johns824,F,GENERAL PRACTICE,444 MONTGOMERY STREET,CHICOPEE,MA,1020,42.1718584,-72.5849672,242
0a505eca-1007-33a6-9b2a-5819e5833e1b,f28ce7cd-867f-3431-99e3-ab62ed072852,Joshua658 Christiansen251,M,GENERAL PRACTICE,454 BROADWAY,REVERE,MA,02151-3050,42.421005,-70.99036,54
0a8a9359-7b33-3256-a068-b5a7d18ebe4b,465de31f-3098-365c-af70-48a071e1f5aa,Keri25 Schmidt332,F,GENERAL PRACTICE,115 LINCOLN STREET,FRAMINGHAM,MA,01701,42.307905,-71.436196,1760
0b51c100-4a54-35bd-9f8e-52f29cccc7ef,58fa71de-2295-33b8-8932-176a72078898,Homer307 Wiegand701,M,GENERAL PRACTICE,265 PLEASANT ST,ROCKLAND,MA,02370-1280,42.129251000000004,-70.908736,88
0c52e32a-160f-3401-923d-15335dadb371,bfc71898-9ad0-3959-828d-fa8d2e8f296f,Jaqueline846 Reinger292,F,GENERAL PRACTICE,281 COUNTY ST,ATTLEBORO,MA,02703-3511,41.931653000000004,-71.294503,47
0e115b43-0dd3-30fc-a39b-1b36d76fe44e,1ae16480-11ce-35df-89ee-78947036c59c,Isaias604 Ortiz186,M,GENERAL PRACTICE,1180 BEACON ST,BROOKLINE,MA,02446-3885,42.323853,-71.142003,70
0f365bed-2aa2-3340-974f-3fcf51fd477a,d5117822-5756-389d-9547-891a372d580f,Donita707 Ward668,F,GENERAL PRACTICE,67 & 100 TER HEUN DRIVE,FALMOUTH,MA,02540,41.57072,-70.556682,1728
0ff915cf-3cc4-35b1-ad5e-bb5745dd0b18,7ce4229c-f2de-3004-8983-02dc9bf2f990,Mike230 Predovic534,M,GENERAL PRACTICE,103 MYRON ST,WEST SPRINGFIELD,MA,01089-1485,42.125451,-72.649734,86
1045937e-4c7c-3dee-81de-c8ed516c31ae,f71ce1a9-cca7-3295-9a1e-c88ac3479b6f,Jc393 Borer986,M,GENERAL PRACTICE,157 UNION STREET,MARLBOROUGH,MA,01752,42.349617,-71.547214,1299
1172b1ae-d54f-33da-85bf-2717cbebf2ef,75bc27b3-2841-3c4f-9069-13bed81bfa6c,Andreas188 Schmidt332,M,GENERAL PRACTICE,181 STATE RD,WHATELY,MA,01093,42.430995,-72.642437,153
11e7c446-d8bd-3d90-b299-2576a99a5c7f,3b5067a8-36ad-367c-b73e-2b6220a5f290,Lance203 Swift555,M,GENERAL PRACTICE,4 TANNERY BROOK ROW,SOMERVILLE,MA,02144-2758,42.390445,-71.101033,30
124073ec-1dbe-3acb-afc0-8e1e1c2f519f,f2c890aa-a295-3c61-b35e-bfef8005ff94,Sumiko254 Graham902,F,GENERAL PRACTICE,89 MORTON ST,ANDOVER,MA,01810-2036,42.648044,-71.161751,37
12b801f8-7b4e-369e-80b9-4205c25aab0f,27379046-608b-32f0-9df7-8c833cf5d11d,Kasi212 Hickle134,F,GENERAL PRACTICE,75 FRANCIS STREET,BOSTON,MA,02115,42.33196,-71.020173,281
13b2f2f4-9e01-3764-a12b-5f0e7833d601,aae540b1-016c-3d53-83c1-c66be3aa906a,Buster609 Hand679,M,GENERAL PRACTICE,1003 S MAIN ST,BELLINGHAM,MA,02019-1826,42.076682,-71.47449,56
13e38b9b-0671-3836-8030-78d8094da72e,8b607111-30ff-3014-bf43-3a9d61993538,Garret233 Parker433,M,GENERAL PRACTICE,57 PUTNAM ST,WINTHROP,MA,02152-2902,42.375541,-70.970646,29
15151305-4b07-3bb2-97d8-3e81bf710448,64a9eaf6-3eef-3149-988c-3436d918d805,Lucio648 Hettinger594,M,GENERAL PRACTICE,54 FAIRFIELD ST,CAMBRIDGE,MA,02140-1911,42.376043,-71.11868,76
1530e81b-106c-32d5-95d5-42a710c92068,fd328395-ab1d-35c6-a2d0-d05a9a79cf11,Wayne846 Mertz280,M,GENERAL PRACTICE,271 CAREW STREET,SPRINGFIELD,MA,01104,42.115454,-72.539978,821
1595224e-648a-3615-aae6-115609722480,161a799c-4894-36f6-8ca7-2a71c8107f79,Quincy153 Heathcote539,M,GENERAL PRACTICE,2033 MAIN STREET,ATHOL,MA,01331,42.593384,-72.230228,191
18cc4159-3360-38cf-8ce2-839fb21bedbd,ca960833-41ab-3cab-b1f0-192cf26727d1,Marisol435 Porras535,F,GENERAL PRACTICE,1030 PRESIDENT AVE,FALL RIVER,MA,02720-5929,41.725351,-71.094162,115
1b2c1c36-9275-3012-b962-27e94dbd5947,44a6ca33-dba9-3aa7-b75b-c7abf74930e9,Courtney281 Kuvalis369,F,GENERAL PRACTICE,1180 BEACON ST,BROOKLINE,MA,02446-3806,42.323853,-71.142003,64
1b75d7a2-3964-340e-b025-c5e2d3506244,7fb56531-86bd-3e4a-8619-4df9942da309,Jeramy610 Littel644,M,GENERAL PRACTICE,148 CHESTNUT STREET,NEEDHAM,MA,02494,42.281593,-71.242414,1162
1cb49157-8d54-3062-a4b9-ace58bd951b9,42a6d2c0-4c41-30de-b401-d24121341258,Kathlyn335 Borer986,F,GENERAL PRACTICE,258 MAIN ST,MILFORD,MA,01757-2506,42.158691999999995,-71.521419,63
1cd507b3-be67-3afe-a0cf-dbbddb080d0f,80e919cc-df1a-3838-b75e-541564a286e5,Bryant814 Murazik203,M,GENERAL PRACTICE,57 PROSPECT STREET,NANTUCKET,MA,02554,41.293416,-70.10216899999999,1636
1d3b6b15-41ca-3d3c-a6f6-c1fb35dce5b6,ba10ae09-f51a-31ed-a6ef-44562023c214,Robert854 Jerde200,M,GENERAL PRACTICE,489 WASHINGTON ST,AUBURN,MA,01501-2568,42.198708,-71.846006,31
